Aarav Jain,Aaravjain1212@google.com,jainarav12,234456,25,8324156789
Darsh Mehta,mehtadarsh1611@google.com,mehtadarsh16,4566778,21,9234578121
Priya Sharma,priyasharma0310,shrmapriya03,23451098,21,9856123456
Avni bhagat,bhagatavi0121@yahoo.com,bhgtavi0121,12342356,26,8456212309
Sakshi Singh,sakshisingh2314@gmail.com,singhsak2314,4566781234,28,7856234512
Mohit Singhal,singhalmohit07@gmail.com,singhalmohit1235,768676767,18,9012345612
Anuj kumar,anujkumar15@icloud.com,kumaranu1523,78903425,24,9234567812
Prachi vyas,vyasprachi03@gmail.com,vyasprachi2178,6236904,26,8056341267
Riya saxena,saxenariya2489@yahoo.com,riyasaxena2489,89786323,19,7845129567
Divya Kumar,divyakumar1911@hotmail.com,kumardivya1911,8987870,21,9423896534
Sejal jain,sejaljain2306@hotmail.com,sejaljain2306,489876675,18,8678045342
Shubham Mittal,mittalshubh0178@icloud.com,shubhmittal0178,68761243,23,8567893427
Mehak gupta,mehakgupta6633@icloud.com,mehakgupta6633,79672340,28,8956341234
Abhi singh,abhisingh1991@outlook.com,singhabhi1991,689676,24,9256812304
Keshav gupta,guptakeshav2000@hotmail.com,guptakeshav2000,875645309,21,8745218967
Urvashi vijay,urvivijay1233@google.com,uvivijay1233,98923045,26,9056342789
Stuti Jain,stutijain0567@yahoo.com,stutijain0567,4510546,28,7890341278
Ayushi vijay,vijayayu1221@hotmail.com,ayuvijay1221,789023456,24,9078125678
Gaurav Garg,gauravgarg0288@gmail.com,gauravgarg0288,7820945,19,9456781234
Charu jain,jaincharu1221@icloud.com,jaincharu1221,97986785,21,8645289012
